ID,Stage,Stimulus word,Stimulus word_POS,PAUSE 1,Reaction 1,Reaction 1_POS,Type 1,Косинус_1_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_1_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 2,Reaction 2,Reaction 2_POS,TYPE 2,Косинус_2_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_2_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 3,Reaction 3,Reaction 3_POS,TYPE 3,Косинус_3_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_3_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 4,Reaction 4,Reaction_4_POS,TYPE 4,Косинус_4_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_4_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,PAUSE 5,Reaction 5,Reaction 5_POS,TYPE 5,Косинус_5_ruwikiruscorpora_upos_cbow_300_10_2021,Косинус_5_symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli
1,1,бабушка,бабушка_NOUN,548,старая,старый_ADJ,CHAR_DIR,"0,2218424082","0,2929622531",502,морщинистая,морщинистый_ADJ,CHAR_DIR,"0,163168177","0,09408678859",574,платок,платок_NOUN,FRAME,"0,2625158131","0,2894257605",513,седая,седой_NOUN,CHAR_DIR,"0,259291172","0,3831288517",1446,зубы,зуб_NOUN,FRAME,"0,1373960078","0,3956274092"
1,1,богатый,богатый_ADJ,579,человек,человек_NOUN,CHAR_DIR,"0,1041210741","0,2357365191",1069,золото,золото_NOUN,FRAME,"0,2924700975","0,3993056417",816,деньги,деньги_NOUN,FRAME,"0,3332915008","0,4485390484",555,толстый,толстый_ADJ,SPECIFIC/CAUSE,"0,2827119231","0,6535418034",3503,пузо,пузо_NOUN,FRAME,"0,06411492079","0,2202548683"
1,1,делать,делать_VERB,1145,деньги,деньги_NOUN,PRECED /OBJ_DIR,"0,1772583276","0,2695260048",506,дело,дело_NOUN,OBJ_DIR/MORPH,"0,1716255993","0,3687429726",1207,строить,строить_VERB,SIMIL,"0,2932351232","0,7924464941",617,успех,успех_NOUN,CAUSE,"0,1273976713","0,3149216175",2030,трудолюбивый,трудолюбивый_ADJ,CAUSE,"0,1243802384","0,2153110802"
1,1,путь,путь_NOUN,652,к себе,к_себя_ADP_PRON,OBJ_DIR,NA,"0,2822005451",661,млечный,млечный_ADJ,CHAR_DIR,"-0,07352095097","0,2747932076",646,мечта,мечта_NOUN,MENTAL/OBJ_IND/FRAME,"0,1847836226","0,5086119175",521,дорога,дорога_NOUN,SIMIL,"0,5957087278","0,8329578638",862,тропа,тропа_NOUN,SIMIL,"0,5509874225","0,5762521029"
1,1,глаз ,глаз_NOUN,960,алмаз,алмаз_NOUN,PRECED,"0,1833209395","0,5652924776",3734,пронзительный,пронзительный_ADJ,CHAR_DIR,"0,3818890154","0,2402132303",1058,широко открытый,широко_открытый_ADV_ADJ,CHAR_DIR,NA,"0,2012252063",928,ресницы,ресница_NOUN,SIMIL/FRAME,"0,6520904303","0,6155771613",6387,око,око_NOUN,SIMIL,"0,6333791018","0,6895737052"
1,1,глупый,глупый_ADJ,680,умный,умный_ADJ,ANT,"0,6281999946","0,3932686746",598,человек,человек_NOUN,CHAR_DIR,"0,2106140107","0,1608681828",853,рассеянный,рассеянный_ADJ,SIMIL/CAUSE,"0,2663081586","0,6062411666",876,мальчик,мальчик_NOUN,CHAR_DIR,"0,3294461966","0,1553397775",4016,маленький,маленький_ADJ,CAUSE,"0,3763605058","0,4959640801"
1,1,Изображение 7,NA,571,лес,лес_NOUN,SIMIL,NA,NA,1256,свет,свет_NOUN,SIMIL,NA,NA,589,прохлада,прохлада_NOUN,MENTAL,NA,NA,687,свежесть,свежесть_NOUN,MENTAL,NA,NA,1458,радость,радость_NOUN,MENTAL,NA,NA
1,1,встретить,встретить_VERB,2513,тебя,ты_PRON,OBJ_DIR,NA,"0,5999732614",558,любовь,любовь_NOUN,OBJ_DIR,"0,040462818","0,4253230691",4868,друга,друг_NOUN,OBJ_DIR,"0,0427306816","0,5825302005",3124,знакомство,знакомство_NOUN,FRAME/CAUSE,"0,1235185117","0,5571997166",16715,удовольствие,удовольствие_NOUN,CAUSE/MENTAL,"-0,01749327034","0,4317892492"
1,1,настоящий,настоящий_ADJ,1026,друг,друг_NOUN,CHAR_DIR,"0,06234362721","0,3519895673",539,герой,герой_NOUN,CHAR_DIR,"0,05993722007","0,2988214195",675,сильный,сильный_ADJ,SPECIFIC,"0,06076128036","0,634611547",3597,радость,радость_NOUN,MENTAL,"0,03097468428","0,2059707642",2863,близкий,близкий_ADJ,SIMIL,"0,1286390275","0,7849649787"
1,1,добро,добро_NOUN,779,зло,зло_NOUN,ANT,"0,7040048838","0,5119960904",1029,вернется,вернуться_VERB,PRECED / PRED_DIR,"0,02416268364","0,4845107794",3048,Россия,россия_PROPN,PRECED,"0,1131561846","0,226898998",2899,любовь,любовь_NOUN,SIMIL/MENTAL,"0,4970670938","0,6793067455",1522,расположение,расположение_NOUN,SIMIL/MENTAL,"0,04867445305","0,3692311943"
1,1,Изображение 11,NA,2043,дружба,дружба_NOUN,MENTAL,NA,NA,634,дети,ребенок_NOUN,SIMIL,NA,NA,594,счастье,счастье_NOUN,MENTAL,NA,NA,3525,лето,лето_NOUN,FRAME,NA,NA,2545,всё впереди,все_впереди_PRON_ADV,INDIV,NA,NA
1,1,враг,враг_NOUN,787,темнота,темнота_NOUN,MENTAL,"0,2995248437","0,4585729241",585,неприязнь,неприязнь_NOUN,MENTAL,"0,2483278364","0,6951550841",4578,черная дыра,черный_дыра_ADJ_NOUN,INDIV,NA,"0,5083558559",975,негатив,негатив_NOUN,MENTAL,"0,001336427638","0,8008621335",871,отталкивает,отталкивать_VERB,PRED_DIR,"0,1403281391","0,4229188561"
1,1,дорогой,дорогой_ADJ,559,друг,друг_NOUN,CHAR_DIR,"0,2415575534","0,4295093417",493,товарищ,товарищ_NOUN,CHAR_DIR,"0,1149604246","0,3587273061",4415,цена,цена_NOUN,SPECIFIC,"0,3481765091","0,3192027807",490,любимый,любимый_ADJ,SIMIL,"0,4781861305","0,5532925725",3336,братский,братский_ADJ,SIMIL,"-0,01307330467","0,6284689903"
1,1,Изображение 14,NA,508,семья,семья_NOUN,SIMIL,NA,NA,1902,закат,закат_NOUN,FRAME,NA,NA,902,тепло,теплый_ADJ,MENTAL,NA,NA,779,уют,уют_NOUN,MENTAL,NA,NA,550,близкие,близкий_ADJ,SIMIL,NA,NA
1,1,счастье,счастье_NOUN,788,любить,любить_VERB,SPECIFIC,"0,3841342032","0,4013735652",613,жить,жить_VERB,SPECIFIC,"0,223257497","0,3596013784",588,верить,верить_VERB,SPECIFIC,"0,4056251347","0,2836846411",1331,радость,радость_NOUN,SIMIL ,"0,7315716147","0,8959345818",3288,удовольствие,удовольствие_NOUN,SIMIL / MENTAL,"0,5330173373","0,7646268606"
1,1,думать,думать_VERB,452,головой,голова_NOUN,OBJ_DIR/PRECED,"0,2618591785","0,277820617",644,усердно,усердно_ADV,ADC,"0,1413917094","0,2055793256",445,трудолюбивый,трудолюбивый_ADJ,CAUSE,"0,1746619195","0,1571857184",1468,ночь,ночь_NOUN,FRAME,"0,1741393805","0,09979582578",10317,о мелочах,о_мелочь_ADP_NOUN,OBJ_DIR,NA,"0,2408762425"
1,1,друг,друг_NOUN,1458,враг,враг_NOUN,ANT,"0,3946225345","0,6617910266",2054,близкий,близкий_ADJ,CHAR_DIR,"0,481128484","0,4591203928",5297,лучший,лучший_ADJ,CHAR_DIR,"0,06237895042","0,2099703699",18737,товарищ,товарищ_NOUN,SIMIL,"0,3598186672","0,8471454978",6726,недруг,недруг_NOUN,ANT,"0,3934799731","0,7582171559"
1,1,Изображение 18,NA,434,флаг,флаг_NOUN,SIMIL,NA,NA,502,Россия,россия_PROPN,PRECED / SIMIL/OBJ_DIR,NA,NA,621,мощь,мощь_NOUN,MENTAL,NA,NA,864,сила,сила_NOUN,MENTAL,NA,NA,3248,вера,вера_NOUN,MENTAL,NA,NA
1,1,дом,дом_NOUN,993,уют,уют_NOUN,MENTAL,"0,3008203208","0,6020715237",385,тепло,теплый_ADJ,MENTAL,"0,117886588","0,2704951465",428,семья,семья_NOUN,FRAME,"0,4345618486","0,6588590741",488,очаг,очаг_NOUN,SIMIL,"0,2621970475","0,5704586506",3374,родной,родной_ADJ,CHAR_DIR,"0,1449138075","0,3786135912"
1,1,любить,любить_VERB,2149,себя,себя_PRON,OBJ_DIR,NA,"0,3590577245",2232,сильно,сильно_ADV,ADC,"0,2593918443","0,2132879198",509,горячо,горячий_ADJ,ADC,"0,2449075431","0,1227241755",2860,уважать,уважать_VERB,SIMIL/CAUSE,"0,6057565808","0,8711951971",342,понимать,понимать_VERB,SIMIL/CAUSE,"0,4790020585","0,5290170312"
1,1,семья,семья_NOUN,890,близкие,близкий_ADJ,SIMIL,"0,1620493531","0,1694731712",636,родные,родной_ADJ,SIMIL,"0,3441129625","0,3051400483",1178,люди,человек_NOUN,SIMIL,"0,2291863263","0,5602923632",885,мама,мама_NOUN,HYP,"0,3472873867","0,6267383099",1698,любовь,любовь_NOUN,MENTAL,"0,2105969787","0,5703907609"
1,1,душа,душа_NOUN,619,болит,болеть_NOUN,PRED_DIR / PRECED,"0,05354938284","0,694834888",581,радуется,радоваться_VERB,PRED_DIR / PRECED,"0,3296712339","0,367872417",530,чистая,чистый_ADJ,CHAR_DIR,"0,3674509823","0,06123403087",1157,прозрачная,прозрачный_ADJ,CHAR_DIR,"0,1451209486","0,08909765631",449,сильная,сильный_ADJ,CHAR_DIR,"0,1976584494","0,2674572468"
1,1,жизнь,жизнь_NOUN,1546,быстротечна,быстротечный_ADJ,PRED_DIR,"0,1774604619","0,1271995008",7992,радость,радость_NOUN,MENTAL,"0,3878924847","0,5988889933",487,свет,свет_NOUN,MENTAL,"0,3232293129","0,6826053262",634,одна,один_DET,PRED_DIR,NA,"0,1862398237",1590,коротка,короткий_ADJ,PRED_DIR / PRECED,"0,01365589257","0,07061680406"
1,1,лес,лес_NOUN,599,шумит,шуметь_VERB,PRED_DIR,"0,2431928962","0,2739897668",612,хвойный,хвойный_ADJ,CHAR_DIR,"0,6010783315","0,3365808129",1512,дыхание,дыхание_NOUN,MENTAL,"0,1560789198","0,6802010536",599,прохлада,прохлада_NOUN,MENTAL,"0,3340922892","0,6371381283",745,зелень,зелень_NOUN,FRAME,"0,489138931","0,6000087261"
1,1,Изображение 25,NA,1784,бабушка,бабушка_NOUN,SIMIL,NA,NA,6355,село,село_NOUN,FRAME,NA,NA,456,деревня,деревня_NOUN,FRAME,NA,NA,1674,платок,платок_NOUN,FRAME,NA,NA,570,довольная,довольный_ADJ,CHAR_DIR,NA,NA
